source_host,source_path,line,observation_type,proof_level,start,end_exclusive,batch_index,batch_count,max_concurrent,declared_or_derived_count,agent_number,detail
122174,swarm/devbox_launch_agents.py,,static_source_defaults,planned_only,,,,,4,,,"Static source defaults are a plan, not execution evidence."
122174,swarm/devbox_launch_wave2.py,,static_source_defaults,planned_only,101,1001,,,8,900,,"Static source defaults are a plan, not execution evidence."
122174,swarm/vitals/agent-047.log,198,command_text,planned_only,101,1001,0,5,8,180,,"Command text is a plan/request; it does not prove launch, run, or success."
122175,swarm/devbox_launch_agents.py,,static_source_defaults,planned_only,,,,,4,,,"Static source defaults are a plan, not execution evidence."
122175,swarm/devbox_launch_wave2.py,,static_source_defaults,planned_only,101,1001,,,8,900,,"Static source defaults are a plan, not execution evidence."
122447,swarm/devbox_launch_agents.py,,static_source_defaults,planned_only,,,,,4,,,"Static source defaults are a plan, not execution evidence."
122447,swarm/devbox_launch_wave2.py,,static_source_defaults,planned_only,101,1001,,,8,900,,"Static source defaults are a plan, not execution evidence."
122447,swarm/vitals/launcher_batch2.log,15,launcher_spawn_line,process_spawn_footprint,,,,,,1,39,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,16,launcher_spawn_line,process_spawn_footprint,,,,,,1,44,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,17,launcher_spawn_line,process_spawn_footprint,,,,,,1,49,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,18,launcher_spawn_line,process_spawn_footprint,,,,,,1,54,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,19,launcher_spawn_line,process_spawn_footprint,,,,,,1,59,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,20,launcher_spawn_line,process_spawn_footprint,,,,,,1,64,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,21,launcher_spawn_line,process_spawn_footprint,,,,,,1,69,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,22,launcher_spawn_line,process_spawn_footprint,,,,,,1,74,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,23,launcher_spawn_line,process_spawn_footprint,,,,,,1,79,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,24,launcher_spawn_line,process_spawn_footprint,,,,,,1,84,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,25,launcher_spawn_line,process_spawn_footprint,,,,,,1,89,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,26,launcher_spawn_line,process_spawn_footprint,,,,,,1,94,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,27,launcher_spawn_line,process_spawn_footprint,,,,,,1,99,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/launcher_batch2.log,29,aggregate_launcher_claim,process_spawn_claim_only,,,,,,13,,Aggregate launcher text; not independently verified agent execution.
122447,swarm/vitals/wave2_batch2.log,10,launcher_spawn_line,process_spawn_footprint,,,,,,1,138,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,100,launcher_spawn_line,process_spawn_footprint,,,,,,1,588,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,101,launcher_spawn_line,process_spawn_footprint,,,,,,1,593,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,102,launcher_spawn_line,process_spawn_footprint,,,,,,1,598,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,103,launcher_spawn_line,process_spawn_footprint,,,,,,1,603,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,104,launcher_spawn_line,process_spawn_footprint,,,,,,1,608,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,105,launcher_spawn_line,process_spawn_footprint,,,,,,1,613,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,106,launcher_spawn_line,process_spawn_footprint,,,,,,1,618,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,107,launcher_spawn_line,process_spawn_footprint,,,,,,1,623,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,108,launcher_spawn_line,process_spawn_footprint,,,,,,1,628,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,109,launcher_spawn_line,process_spawn_footprint,,,,,,1,633,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,11,launcher_spawn_line,process_spawn_footprint,,,,,,1,143,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,110,launcher_spawn_line,process_spawn_footprint,,,,,,1,638,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,111,launcher_spawn_line,process_spawn_footprint,,,,,,1,643,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,112,launcher_spawn_line,process_spawn_footprint,,,,,,1,648,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,113,launcher_spawn_line,process_spawn_footprint,,,,,,1,653,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,114,launcher_spawn_line,process_spawn_footprint,,,,,,1,658,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,115,launcher_spawn_line,process_spawn_footprint,,,,,,1,663,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,116,launcher_spawn_line,process_spawn_footprint,,,,,,1,668,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,117,launcher_spawn_line,process_spawn_footprint,,,,,,1,673,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,118,launcher_spawn_line,process_spawn_footprint,,,,,,1,678,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,119,launcher_spawn_line,process_spawn_footprint,,,,,,1,683,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,12,launcher_spawn_line,process_spawn_footprint,,,,,,1,148,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,120,launcher_spawn_line,process_spawn_footprint,,,,,,1,688,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,121,launcher_spawn_line,process_spawn_footprint,,,,,,1,693,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,122,launcher_spawn_line,process_spawn_footprint,,,,,,1,698,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,123,launcher_spawn_line,process_spawn_footprint,,,,,,1,703,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,124,launcher_spawn_line,process_spawn_footprint,,,,,,1,708,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,125,launcher_spawn_line,process_spawn_footprint,,,,,,1,713,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,126,launcher_spawn_line,process_spawn_footprint,,,,,,1,718,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,127,launcher_spawn_line,process_spawn_footprint,,,,,,1,723,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,128,launcher_spawn_line,process_spawn_footprint,,,,,,1,728,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,129,launcher_spawn_line,process_spawn_footprint,,,,,,1,733,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,13,launcher_spawn_line,process_spawn_footprint,,,,,,1,153,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,130,launcher_spawn_line,process_spawn_footprint,,,,,,1,738,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,131,launcher_spawn_line,process_spawn_footprint,,,,,,1,743,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,132,launcher_spawn_line,process_spawn_footprint,,,,,,1,748,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,133,launcher_spawn_line,process_spawn_footprint,,,,,,1,753,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,134,launcher_spawn_line,process_spawn_footprint,,,,,,1,758,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,135,launcher_spawn_line,process_spawn_footprint,,,,,,1,763,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,136,launcher_spawn_line,process_spawn_footprint,,,,,,1,768,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,137,launcher_spawn_line,process_spawn_footprint,,,,,,1,773,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,138,launcher_spawn_line,process_spawn_footprint,,,,,,1,778,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,139,launcher_spawn_line,process_spawn_footprint,,,,,,1,783,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,14,launcher_spawn_line,process_spawn_footprint,,,,,,1,158,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,140,launcher_spawn_line,process_spawn_footprint,,,,,,1,788,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,141,launcher_spawn_line,process_spawn_footprint,,,,,,1,793,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,142,launcher_spawn_line,process_spawn_footprint,,,,,,1,798,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,143,launcher_spawn_line,process_spawn_footprint,,,,,,1,803,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,144,launcher_spawn_line,process_spawn_footprint,,,,,,1,808,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,145,launcher_spawn_line,process_spawn_footprint,,,,,,1,813,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,146,launcher_spawn_line,process_spawn_footprint,,,,,,1,818,Launcher-reported process spawn; not model-response or completion evidence.
122447,swarm/vitals/wave2_batch2.log,147,launcher_spawn_line,process_spawn_footprint,,,,,,1,823,Launcher-reported process spawn; not model-response or completion evidence.
